province,year,spending_budgetfund,spending_socialsafety,revenue_all,spending_all,spending_centralbond_reissuance,revenue_vehicleoper_tax,revenue_cityconstrtax,revenue_landuse_tax,spending_normalbond_balance,revenue_normalbond_lastyear,spending_debtservice,revenue_debt_onbook,spending_fund_transfer,revenue_budgetfund_transfer,revenue_fund_transfer,revenue_allnontax,spending_foreign,spending_grain,revenue_penalty,revenue_house_tax,revenue_incometax_ind,revenue_agriland_tax,revenue_capitalincome,revenue_lease,revenue_centralbond_reissue,spending_centralbond_balance,revenue_centralbond_lastyear,计划单列市上解省支出,接受其他地区援助收入,spending_health,revenue_donation,spending_RD,total_residual,spending_debtinterest,spending_debt_admin,spending_others,spending_culture,revenue_other_nontax,revenue_other_tax,revenue_incometax_corp,revenue_deed_tax,spending_defense,spending_central_transfer,revenue_residual_lastyear,省补助计划单列市收入,spending_environment,spending_landmanage,spending_agricultureland,spending_housesecure,spending_financialregulation,spending_donation,spending_transportation,spending_regulation,spending_commerce,spending_urbanaffairs,total_balance,spending_security,revenue_landappr_tax,spending_education,revenue_adminfee,revenue_tobacco_tax,revenue_alltax,spending_publicservice,revenue_stamp_tax,revenue_business_tax,spending_specialdonation,spending_budgetbuffer,revenue_vat,revenue_housefund,支出总计,revenue_central_transfer,revenue_specialprogram,revenue_resourcetax,en_province,revenue_vehiclepurch_tax
海南省,2016,122.67,184.02,637.51,1376.48,NA,3.36,25.04,21.52,NA,0.59,239.02,337.64,NA,69.28,69.05,132.55,0.99,3.24,10.24,15.62,21.47,12.23,7.13,35.67,NA,NA,NA,NA,NA,114.17,3.19,15.69,60.83,24.23,0.26,16.32,26.9,7.42,NA,65.15,27.3,10.98,2.3,41.43,NA,37.31,10.27,179.04,56.25,1.26,NA,114.24,24.77,11.37,116.38,1801.31,85.09,90.29,214.24,19.65,NA,504.96,129.48,7.18,91.08,NA,NA,121.55,5.95,1801.31,645.83,43.3,3.16,Hainan,NA
河北省,2014,87.42,585.62,2446.62,4677.3,0.12,27.61,105.94,104.04,NA,NA,36,148,9.44,5.23,79.18,580.56,NA,28.6,103.14,47.18,56.12,49.12,32.12,127.76,NA,0.16,0.16,NA,NA,446.79,NA,51.32,465.84,28.54,58.24,NA,82.66,35.31,NA,256.23,114.84,12.38,51.83,348.5,NA,193.43,66.32,583.52,126.86,1.98,6.04,310.23,104.13,29.06,367.83,5328.11,248.29,116.09,868.87,186.98,0.14,1866.06,476.59,31.34,592.64,NA,NA,310.07,NA,5328.11,2300.43,95.25,54.68,Hebei,NA
河北省,2015,433.5,763.68,2649.18,5632.19,NA,31.95,111.89,106.84,0.58,NA,1080.14,1231.74,12.63,90.73,549.66,714.89,NA,37.43,113.27,51.34,62.86,49.37,22.83,142.31,NA,0.16,0.16,NA,NA,535.09,NA,45.5,221.11,46.52,0.93,85.49,88.34,33.47,NA,266.94,109.2,10.31,59.57,465.8,NA,282.72,73.29,712.49,161.15,3.19,5.65,323.82,111.93,36.53,476.59,7475.7,287.08,118.58,1041.16,185.8,0.14,1934.29,503.32,29.94,651.54,NA,35.82,315.35,NA,7475.7,2488.42,217.22,28.36,Hebei,NA
河北省,2016,445.13,839.27,2849.87,6049.53,NA,36.12,115.21,101.65,11.46,0.58,1250.87,1489.48,5.59,398.36,403.65,853.75,NA,25.65,113.47,54.63,71.52,67.24,31.6,224.37,NA,0.16,0.16,NA,NA,547.86,4.91,73.18,248.41,80.31,1.42,58.14,87.54,42.55,NA,272.99,136.74,10,55.45,221.11,NA,262.8,73.65,800.79,182.01,7.51,7.48,251.8,125.35,35.8,555.7,8068.3,336.57,138.74,1134.89,208.65,0.29,1996.13,551.81,33.18,342.41,NA,1.7,595.2,40.4,8068.3,2705.09,187.8,30.2,Hebei,NA
河南省,2014,198.46,790.87,2739.26,6028.69,NA,25,106.67,95.9,NA,NA,46,176,10.25,46.05,210.91,787.8,NA,45.12,82.2,45.91,58.01,125.31,108.25,156.27,NA,NA,NA,NA,NA,602.95,NA,81.25,232.49,94.41,NA,80.46,91.16,75.76,NA,261,142.01,6.79,31.88,178.03,NA,119.95,54,661.94,247.57,27.71,2.62,364.85,117.62,31.5,431.74,6548.56,274.12,132.51,1201.38,263.89,9.36,1951.46,700.71,26.8,627.33,NA,0.8,256.47,NA,6548.56,3198.31,101.42,39.19,Henan,NA
河南省,2015,342.8,945.83,3016.05,6799.35,NA,30.06,112.72,102.81,41.14,NA,790.49,1053.85,5.19,184.4,227.34,914.88,NA,36.21,89.11,52.52,62.03,184.74,103.28,195.26,NA,NA,NA,NA,NA,717.74,NA,83.25,184.6,29.92,1.07,71.58,105.38,87.6,NA,281.41,138.75,6.08,31.93,243.01,NA,177.77,55.72,791.63,242.04,40.92,2.84,371.01,149.98,57.71,645.21,8194.6,301.12,139.43,1271,238.34,10.53,2101.17,695.32,27.94,659.16,NA,0.9,263.73,NA,8194.6,3469.95,201.29,35.35,Henan,NA
河南省,2016,301.62,1067.4,3153.48,7453.74,NA,33.51,117.09,104.76,19.09,41.14,1042.14,1295.19,17.54,292.84,307.32,995.03,NA,37.24,90.55,53.78,71.75,184.34,92.53,219.17,NA,NA,NA,NA,NA,778.01,3.58,96.1,128.24,101.43,2.07,56.84,97.33,76.11,NA,297.31,186.95,9.52,29.79,155.7,NA,195.72,54.37,807.06,268.58,34.95,2.89,347.97,120.86,42.97,879.33,8991.72,358.41,144.83,1343.76,238.63,9.96,2158.45,750.94,29.94,345.54,NA,-0.45,550.61,33.38,8991.72,3746.05,241.07,28.07,Henan,NA
黑龙江省,2014,86.55,602.68,1301.31,3434.22,0.01,14,59.38,49.65,NA,NA,34,126,0.55,0.15,19.47,323.92,NA,71.64,42.98,27.62,36.98,22.74,34.27,100.17,NA,NA,0.01,NA,NA,235.31,NA,39.46,669.09,13.1,NA,23.62,45.63,20.37,NA,103.22,55.05,4.88,27.68,555.21,NA,111.57,32.81,487.67,147.19,1.15,2.75,236.97,91.34,21.45,332.11,4252.13,170.77,65.4,505.94,78.23,3.14,977.4,256.2,12.5,250.51,NA,0.02,168.89,NA,4252.13,2249.97,47.91,108.33,Heilongjiang,NA
黑龙江省,2015,303.31,728.73,1165.88,4020.66,NA,15.53,54.56,61.41,80.41,NA,378.79,593.2,1.58,126.43,210.21,285.53,NA,65.86,38.62,31.38,35.57,18.57,24.47,70.69,NA,NA,NA,NA,NA,273.96,NA,42.91,448.73,17.14,0.54,17.99,53.17,6.06,NA,100.64,45.13,5.34,27.21,669.09,NA,155.52,34.92,681.48,212.34,0.8,3.75,272.07,106.45,23.89,350.52,5260.58,180.94,63.46,549.66,69.32,3.58,880.34,242.67,10.33,256.98,NA,0.1,129.46,NA,5260.58,2495.77,76.37,53.75,Heilongjiang,NA
黑龙江省,2016,198.98,732.41,1148.41,4227.34,NA,17.36,52.24,57.93,0.64,80.41,694.42,791,0.06,153.3,68.83,320.56,NA,62.32,42.19,31.92,37.28,21.5,18.22,96.13,NA,NA,NA,NA,NA,280.56,1.17,44.92,366.11,35.51,0.82,8.11,53.21,6.26,NA,94.6,46.67,4.88,16.33,448.73,NA,113.44,35.73,801.77,271.95,5.9,2.98,250.4,81.99,17.47,387.08,5503.68,210.3,53.31,558.87,66.17,1.87,827.85,266.7,10.39,135.31,NA,-0.19,226.73,24.42,5503.68,2813,66.01,40.74,Heilongjiang,NA
湖北省,2014,113.45,717.63,2566.9,4934.15,NA,15.56,124.87,44.92,NA,NA,43,156,8.82,5.81,80.41,693.78,NA,38.78,73.71,43.83,64.69,107.32,31.41,141.93,NA,1.4,1.4,NA,NA,401.32,NA,134.46,1185.33,37.49,NA,69.74,76.65,35.96,NA,255.02,145.89,4.18,40.81,1120.92,NA,103.78,55.41,483.8,147.06,9.79,5.19,396.04,221.62,36.06,364.31,6326.95,259.05,174.07,773.35,333.37,3.33,1873.11,598.45,25.12,586,NA,NA,263.66,NA,6326.95,2395.51,77.39,18.83,Hubei,NA
湖北省,2015,588.12,858.7,3005.53,6132.84,NA,17.97,138.62,50.33,NA,NA,996.61,1149.66,0.6,70.5,248.28,919.03,NA,44.12,94.4,53.14,78.53,116.42,26.04,213.76,NA,1.4,1.4,NA,NA,515.25,NA,157.36,559.59,24.31,1.21,71.24,84.03,59.05,NA,276.78,153.5,4.25,43.68,1185.33,NA,145.84,61.24,616.57,204.78,10.51,6.28,452.05,451.36,52.17,545.16,8331.81,295.24,187.76,913.05,329.03,4.02,2086.5,618.14,27.97,678.3,NA,8.98,285.48,NA,8331.81,2671.12,196.76,17.69,Hubei,NA
湖北省,2016,488.79,978.82,3102.06,6422.98,NA,21.31,143.48,52.53,NA,NA,1321.35,1520.73,NA,442.16,322.97,979.13,NA,40.6,89.7,59.7,92.98,115.6,39.21,237.7,NA,1.4,1.4,NA,NA,588.9,4.21,190.11,514.79,65.42,1.43,40.84,96.61,61.49,NA,299.12,149.64,3.55,43.74,559.59,NA,145.64,48.77,704.59,240.64,4.13,5.73,391.79,209.94,37.28,588.47,8798.14,352.73,201.55,1047.37,321.96,4.17,2122.93,639.6,29.73,374.23,NA,5.09,563.33,29.55,8798.14,2849.23,195.3,15.56,Hubei,NA
